class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
LinkedList,1,41338954,0,1.9856219291687012,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,117de510,0,2.0588929653167725,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,57b9651c,0,2.0444788932800293,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,77935e62,0,2.103883981704712,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,205e9f10,0,1.9934940338134766,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,46c3f702,0,1.972855806350708,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,6cd1e804,0,2.0680713653564453,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,6ad55bd0,0,2.0622339248657227,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,3a4cb65c,0,2.0527429580688477,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,2164663a,0,1.9609031677246094,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,1ad153c2,0,2.121042013168335,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,653a8907,0,2.0911879539489746,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,65aa9b0f,0,2.1158509254455566,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,6b6fd91b,0,2.090768814086914,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,74d9ebbf,0,2.221853256225586,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,3a39e69b,0,1.9940650463104248,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,73159271,0,2.0839617252349854,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
LinkedList,1,55c93829,0,2.0646138191223145,ok,17,17,0,1,100,1,10,58,17,17,23.03921568627451,22.123015873015873,16.39344262295082,16.39344262295082
