class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
ArrayList,9,3df009ba,0,0.9484579563140869,ok,9,9,0,1,100,1,9,100,9,17.115551694178972,21.484814398200225,9.740259740259742,14.705882352941178
ArrayList,9,4332c9f0,0,1.4610180854797363,ok,9,9,0,1,100,1,9,100,9,23.71850564726325,30.033745781777277,14.935064935064934,22.54901960784314
ArrayList,9,35d0c956,0,1.6656031608581543,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,d26d69e,0,1.566269874572754,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,16.233766233766232,24.509803921568626
ArrayList,9,3550c23b,0,1.6214599609375,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,16.233766233766232,24.509803921568626
ArrayList,9,3b20b8c6,0,1.5551879405975342,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,1c378831,0,1.6279559135437012,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,16.233766233766232,24.509803921568626
ArrayList,9,34c19336,0,1.340014934539795,ok,9,9,0,1,100,1,7,77,9,16.85490877497828,21.147356580427445,10.38961038961039,15.686274509803921
ArrayList,9,3d69d961,0,1.525965929031372,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,71777c6c,0,1.4700140953063965,ok,9,9,0,1,100,1,9,100,9,18.505647263249347,23.28458942632171,12.337662337662337,18.627450980392158
ArrayList,9,5c006bbe,0,1.6314890384674072,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,2367d139,0,1.4240548610687256,ok,9,9,0,1,100,1,9,100,9,23.370981754995658,29.58380202474691,14.285714285714285,21.568627450980394
ArrayList,9,109a1544,0,1.545928955078125,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,215313fa,0,1.5010600090026855,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,695dab00,0,1.2947077751159668,ok,9,9,0,1,100,1,5,55,9,15.464813205907907,19.34758155230596,9.740259740259742,14.705882352941178
ArrayList,9,69181e1f,0,1.7038648128509521,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,e7c65f9,0,1.4069733619689941,ok,9,9,0,1,100,1,8,88,9,22.06776715899218,27.896512935883017,11.03896103896104,16.666666666666664
ArrayList,9,6d6dbf24,0,1.5355141162872314,ok,9,9,0,1,100,1,7,77,9,18.766290182450042,23.62204724409449,12.987012987012985,19.607843137254903
ArrayList,9,3cf637d6,0,1.6099820137023926,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,ace7c89,0,1.4802770614624023,ok,9,9,0,1,100,1,7,77,9,16.159860990443093,20.247469066366705,7.792207792207792,11.76470588235294
ArrayList,9,6e406cbf,0,1.5074081420898438,ok,9,9,0,1,100,1,8,88,9,17.202432667245873,21.597300337457817,11.03896103896104,16.666666666666664
ArrayList,9,2abec19d,0,1.4778101444244385,ok,9,9,0,1,100,1,8,88,9,15.8992180712424,19.910011248593925,10.38961038961039,15.686274509803921
ArrayList,9,54611ca,0,1.4954860210418701,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,451beda,0,1.565255880355835,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,16.233766233766232,24.509803921568626
ArrayList,9,6dba9e2c,0,1.3039469718933105,ok,9,9,0,1,100,1,8,88,9,13.205907906168548,16.42294713160855,9.090909090909092,13.725490196078432
ArrayList,9,d721d52,0,1.512382984161377,ok,9,9,0,1,100,1,7,77,9,18.41876629018245,23.172103487064117,9.090909090909092,13.725490196078432
ArrayList,9,679a8e61,0,1.6835012435913086,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,47003955,0,1.331528902053833,ok,9,9,0,1,100,1,8,88,9,18.33188531711555,23.059617547806525,8.441558441558442,12.745098039215685
ArrayList,9,31864d11,0,1.7106399536132812,ok,9,9,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,9,365d1d32,0,1.3376860618591309,ok,9,9,0,1,100,1,5,55,9,12.771503040834057,15.860517435320585,7.792207792207792,11.76470588235294
ArrayList,81,7941d44b,0,2.0119078159332275,ok,81,81,0,1,100,1,9,100,9,23.544743701129452,29.808773903262093,14.935064935064934,22.54901960784314
ArrayList,81,47823020,0,2.3752129077911377,ok,81,81,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,16.233766233766232,24.509803921568626
ArrayList,81,6a700b92,0,2.168966770172119,ok,81,81,0,1,100,1,9,100,9,24.587315377932235,31.158605174353205,15.584415584415584,23.52941176470588
ArrayList,81,1ec2f146,0,1.891813039779663,ok,81,81,0,1,100,1,9,100,9,21.807124239791488,27.559055118110237,12.337662337662337,18.627450980392158
