model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Array,bes,no_loops,2,3,18,1.6481258869171143,killed_mutant,0,1,6d1a6a65
Array,bes,no_loops,5,3,2,1.5558631420135498,killed_mutant,0,1,212d8739
Array,bes,no_loops,16,1,6,1.4669368267059326,killed_mutant,0,1,4e89a359
Array,bes,no_loops,19,2,6,1.7151477336883545,killed_mutant,0,1,5e3034cc
Array,bes,no_loops,30,3,2,1.5391030311584473,killed_mutant,0,1,212d8739
Array,bes,no_loops,32,3,2,1.2449159622192383,killed_mutant,0,1,212d8739
Array,bes,no_loops,34,2,6,1.028498888015747,killed_mutant,0,1,5e3034cc
Array,bes,no_loops,37,1,6,1.92470383644104,killed_mutant,0,1,4e89a359
Array,bes,no_loops,59,2,2,1.4934101104736328,killed_mutant,0,1,5d1d539a
Array,bes,no_loops,70,1,6,1.8209741115570068,killed_mutant,0,1,4e89a359
Array,bes,no_loops,73,2,6,1.8464620113372803,killed_mutant,0,1,5d1d539a
Array,bes,no_loops,74,2,9,1.6161069869995117,killed_mutant,0,1,5d1d539a
Array,bes,no_loops,75,1,8,1.6267220973968506,killed_mutant,0,1,5041fd0f
Array,bes,no_loops,76,3,8,1.094231128692627,killed_mutant,0,1,6d1a6a65
Array,bes,no_loops,77,2,8,1.6652569770812988,killed_mutant,0,1,5e3034cc
Array,bes,no_loops,80,2,7,1.9353301525115967,killed_mutant,0,1,5d1d539a
Array,bes,no_loops,81,3,8,1.4884779453277588,killed_mutant,0,1,6d1a6a65
Array,bes,no_loops,88,1,1,1.345905065536499,invoke_error,1,0,4e89a359
Array,bes,no_loops,100,3,80,1.937821865081787,killed_mutant,0,1,212d8739
