model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Array,random,loops,2,9,1,1.558959722518921,killed_mutant,0,1,29bf221e
Array,random,loops,5,9,1,1.5552656650543213,killed_mutant,0,1,383a3c30
Array,random,loops,16,9,1,1.5778968334197998,killed_mutant,0,1,62a794b9
Array,random,loops,19,9,1,1.6009531021118164,killed_mutant,0,1,72154fcd
Array,random,loops,25,9,2,1.6326470375061035,killed_mutant,0,1,5c679713
Array,random,loops,30,9,1,1.7589778900146484,killed_mutant,0,1,70b8ce10
Array,random,loops,32,9,2,1.4431710243225098,killed_mutant,0,1,400012c9
Array,random,loops,34,9,1,1.6898908615112305,killed_mutant,0,1,872f55d
Array,random,loops,37,9,1,1.8155059814453125,killed_mutant,0,1,2a76623b
Array,random,loops,59,9,4,1.722682237625122,killed_mutant,0,1,3f793162
Array,random,loops,70,9,1,1.5283150672912598,killed_mutant,0,1,5b4e4dbb
Array,random,loops,71,9,1,1.675170660018921,killed_mutant,0,1,253c9ab2
Array,random,loops,72,9,1,1.7501678466796875,killed_mutant,0,1,4cace5d2
Array,random,loops,73,9,1,1.4311871528625488,killed_mutant,0,1,6ce9b92a
Array,random,loops,74,9,1,1.4332869052886963,killed_mutant,0,1,5f13670a
Array,random,loops,75,9,1,1.7949209213256836,killed_mutant,0,1,62dd8576
Array,random,loops,76,9,1,1.677259922027588,killed_mutant,0,1,7fcda307
Array,random,loops,77,9,1,1.7819550037384033,killed_mutant,0,1,4d6c8d68
Array,random,loops,80,9,1,1.7827050685882568,killed_mutant,0,1,511598bf
Array,random,loops,81,9,1,1.8425769805908203,killed_mutant,0,1,1eeda500
Array,random,loops,88,9,1,1.47670316696167,invoke_error,1,1,ff514d4
Array,random,loops,89,9,1,2.4449212551116943,killed_mutant,0,1,49d83d6a
Array,random,loops,97,9,1,1.6985220909118652,killed_mutant,0,1,68fff09
Array,random,loops,98,9,3,1.73757004737854,killed_mutant,0,1,13b4d269
Array,random,loops,100,9,1,1.7110059261322021,killed_mutant,0,1,527b97d1
