model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Array,random,no_loops,2,9,1,2.162264108657837,killed_mutant,0,1,10927d7d
Array,random,no_loops,5,9,1,1.9160499572753906,killed_mutant,0,1,e6be212
Array,random,no_loops,16,9,1,1.492384910583496,killed_mutant,0,1,60640ce0
Array,random,no_loops,19,9,1,1.654505968093872,killed_mutant,0,1,1c5a3bb9
Array,random,no_loops,25,72,7,1.7505710124969482,killed_mutant,0,1,1f87da27
Array,random,no_loops,30,9,1,1.516923189163208,killed_mutant,0,1,29efc589
Array,random,no_loops,32,9,1,1.943748950958252,killed_mutant,0,1,4594b38d
Array,random,no_loops,34,9,1,1.847188949584961,killed_mutant,0,1,3fb86bb8
Array,random,no_loops,37,9,4,1.6940178871154785,killed_mutant,0,1,554203ad
Array,random,no_loops,59,9,2,1.7985310554504395,killed_mutant,0,1,110b4bb5
Array,random,no_loops,70,9,2,1.952643871307373,killed_mutant,0,1,157c8dfa
Array,random,no_loops,71,9,1,1.8787591457366943,killed_mutant,0,1,10c0c01c
Array,random,no_loops,72,9,2,2.040186882019043,killed_mutant,0,1,600c88df
Array,random,no_loops,73,9,2,1.8313548564910889,killed_mutant,0,1,1a3de524
Array,random,no_loops,74,9,1,1.9409680366516113,killed_mutant,0,1,50c9cb6a
Array,random,no_loops,75,9,1,2.1831769943237305,killed_mutant,0,1,5373075c
Array,random,no_loops,76,9,1,1.7852728366851807,killed_mutant,0,1,254d03d1
Array,random,no_loops,77,9,2,1.7402267456054688,killed_mutant,0,1,19eca75d
Array,random,no_loops,80,9,1,1.8495428562164307,killed_mutant,0,1,c0d4f06
Array,random,no_loops,81,9,8,2.0253570079803467,killed_mutant,0,1,2ba5d1ca
Array,random,no_loops,88,9,1,1.5383050441741943,invoke_error,1,1,5d794438
Array,random,no_loops,89,9,1,2.6289029121398926,killed_mutant,0,1,3d32cf54
Array,random,no_loops,97,9,1,2.053755044937134,killed_mutant,0,1,20f9e339
Array,random,no_loops,98,9,1,2.2970130443573,killed_mutant,0,1,7ddac8cc
Array,random,no_loops,100,9,1,1.8894250392913818,killed_mutant,0,1,5a79ed3f
