model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Linked,bes,loops,5,1,10,1.0983948707580566,killed_mutant,0,1,41338954
Linked,bes,loops,6,1,5,0.8966608047485352,killed_mutant,0,1,41338954
Linked,bes,loops,7,1,1,0.8060479164123535,killed_mutant,0,1,41338954
Linked,bes,loops,9,1,8,0.6240410804748535,killed_mutant,0,1,205e9f10
Linked,bes,loops,10,3,1,0.741204023361206,killed_mutant,0,1,59d7159
Linked,bes,loops,16,1,6,0.7546441555023193,killed_mutant,0,1,41338954
Linked,bes,loops,18,2,2,0.6269707679748535,killed_mutant,0,1,409e4467
Linked,bes,loops,20,1,1,0.7569370269775391,killed_mutant,0,1,41338954
Linked,bes,loops,21,1,1,0.5629968643188477,killed_mutant,0,1,41338954
Linked,bes,loops,23,2,176,1.102351188659668,killed_mutant,0,1,1dc087ed
Linked,bes,loops,32,2,176,1.124500036239624,killed_mutant,0,1,1dc087ed
Linked,bes,loops,34,1,6,0.6217138767242432,killed_mutant,0,1,41338954
Linked,bes,loops,43,2,3,0.6470222473144531,killed_mutant,0,1,409e4467
Linked,bes,loops,45,2,15,0.7234370708465576,killed_mutant,0,1,409e4467
Linked,bes,loops,46,2,15,0.6806809902191162,killed_mutant,0,1,409e4467
Linked,bes,loops,47,1,11,0.6658997535705566,killed_mutant,0,1,41338954
Linked,bes,loops,51,2,10,0.6727278232574463,killed_mutant,0,1,409e4467
Linked,bes,loops,52,2,16,0.7333450317382812,killed_mutant,0,1,409e4467
Linked,bes,loops,53,2,16,0.7410531044006348,killed_mutant,0,1,409e4467
Linked,bes,loops,56,1,10,0.6692838668823242,killed_mutant,0,1,41338954
Linked,bes,loops,58,2,9,0.6921207904815674,killed_mutant,0,1,409e4467
Linked,bes,loops,59,2,6,0.6152799129486084,killed_mutant,0,1,409e4467
Linked,bes,loops,60,1,10,0.7128891944885254,killed_mutant,0,1,41338954
Linked,bes,loops,62,1,10,0.7742228507995605,killed_mutant,0,1,41338954
Linked,bes,loops,64,1,8,0.6268188953399658,killed_mutant,0,1,41338954
Linked,bes,loops,65,1,10,0.6855790615081787,killed_mutant,0,1,41338954
Linked,bes,loops,67,2,10,0.7740850448608398,killed_mutant,0,1,409e4467
Linked,bes,loops,68,1,17,0.6692919731140137,killed_mutant,0,1,117de510
Linked,bes,loops,70,2,3,0.6125462055206299,killed_mutant,0,1,409e4467
Linked,bes,loops,72,1,11,0.8188450336456299,killed_mutant,0,1,41338954
Linked,bes,loops,73,3,240,1.3821182250976562,killed_mutant,0,1,59d7159
Linked,bes,loops,76,3,36,0.9700472354888916,killed_mutant,0,1,59d7159
Linked,bes,loops,77,1,17,0.6905629634857178,killed_mutant,0,1,3a4cb65c
Linked,bes,loops,81,2,3,0.602931022644043,killed_mutant,0,1,409e4467
Linked,bes,loops,82,2,10,0.6688108444213867,killed_mutant,0,1,409e4467
Linked,bes,loops,83,1,1,0.6588270664215088,killed_mutant,0,1,41338954
Linked,bes,loops,86,1,10,0.822411060333252,killed_mutant,0,1,41338954
Linked,bes,loops,87,1,8,0.6258370876312256,killed_mutant,0,1,77935e62
Linked,bes,loops,89,1,9,0.6819770336151123,killed_mutant,0,1,41338954
Linked,bes,loops,90,1,6,0.678342342376709,killed_mutant,0,1,41338954
Linked,bes,loops,93,1,8,0.6470351219177246,killed_mutant,0,1,77935e62
Linked,bes,loops,96,1,1,1.4822509288787842,killed_mutant,0,1,41338954
Linked,bes,loops,98,1,1,1.7109761238098145,killed_mutant,0,1,41338954
Linked,bes,loops,100,1,12,1.4762930870056152,killed_mutant,0,1,41338954
