model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Linked,bes,no_loops,5,1,10,1.154601812362671,killed_mutant,0,1,48309723
Linked,bes,no_loops,6,1,5,1.062243938446045,killed_mutant,0,1,48309723
Linked,bes,no_loops,7,1,1,0.897089958190918,killed_mutant,0,1,48309723
Linked,bes,no_loops,9,1,8,1.0750949382781982,killed_mutant,0,1,48309723
Linked,bes,no_loops,10,3,9,1.212554931640625,killed_mutant,0,1,7d56e08f
Linked,bes,no_loops,16,1,6,1.0582096576690674,killed_mutant,0,1,48309723
Linked,bes,no_loops,18,2,2,1.2580232620239258,killed_mutant,0,1,3890363c
Linked,bes,no_loops,20,1,1,1.26007080078125,killed_mutant,0,1,48309723
Linked,bes,no_loops,21,1,1,1.2078700065612793,killed_mutant,0,1,48309723
Linked,bes,no_loops,23,2,6,1.8119890689849854,killed_mutant,0,1,2cfb06c
Linked,bes,no_loops,32,2,6,0.7672708034515381,killed_mutant,0,1,2cfb06c
Linked,bes,no_loops,34,1,6,1.3605942726135254,killed_mutant,0,1,48309723
Linked,bes,no_loops,43,2,3,0.9210209846496582,killed_mutant,0,1,3890363c
Linked,bes,no_loops,45,2,15,1.128208875656128,killed_mutant,0,1,3890363c
Linked,bes,no_loops,46,2,15,0.9218261241912842,killed_mutant,0,1,3890363c
Linked,bes,no_loops,47,1,11,0.9222290515899658,killed_mutant,0,1,48309723
Linked,bes,no_loops,51,2,10,1.5837359428405762,killed_mutant,0,1,3890363c
Linked,bes,no_loops,52,2,16,1.6192898750305176,killed_mutant,0,1,3890363c
Linked,bes,no_loops,53,2,16,1.2523789405822754,killed_mutant,0,1,3890363c
Linked,bes,no_loops,56,1,10,1.1415159702301025,killed_mutant,0,1,48309723
Linked,bes,no_loops,58,2,9,1.1731882095336914,killed_mutant,0,1,3890363c
Linked,bes,no_loops,59,2,6,0.7946717739105225,killed_mutant,0,1,3890363c
Linked,bes,no_loops,60,1,10,0.8305628299713135,killed_mutant,0,1,48309723
Linked,bes,no_loops,62,1,10,2.091264009475708,killed_mutant,0,1,48309723
Linked,bes,no_loops,64,1,8,1.4050109386444092,killed_mutant,0,1,48309723
Linked,bes,no_loops,65,1,10,1.133742094039917,killed_mutant,0,1,48309723
Linked,bes,no_loops,67,2,10,1.0980830192565918,killed_mutant,0,1,3890363c
Linked,bes,no_loops,68,1,17,1.4739727973937988,killed_mutant,0,1,4867f71c
Linked,bes,no_loops,70,2,3,0.9361298084259033,killed_mutant,0,1,3890363c
Linked,bes,no_loops,72,1,11,1.337510108947754,killed_mutant,0,1,48309723
Linked,bes,no_loops,73,3,239,2.1481497287750244,killed_mutant,0,1,7d56e08f
Linked,bes,no_loops,76,3,35,2.1465651988983154,killed_mutant,0,1,7d56e08f
Linked,bes,no_loops,77,1,17,1.2478978633880615,killed_mutant,0,1,1c8d39de
Linked,bes,no_loops,81,2,3,1.013329267501831,killed_mutant,0,1,3890363c
Linked,bes,no_loops,82,2,10,0.878504753112793,killed_mutant,0,1,3890363c
Linked,bes,no_loops,83,1,1,0.7762422561645508,killed_mutant,0,1,48309723
Linked,bes,no_loops,86,1,10,1.6558711528778076,killed_mutant,0,1,48309723
Linked,bes,no_loops,87,1,8,1.3841469287872314,killed_mutant,0,1,2a7567a6
Linked,bes,no_loops,89,1,9,1.245377779006958,killed_mutant,0,1,48309723
Linked,bes,no_loops,90,1,6,1.2739169597625732,killed_mutant,0,1,48309723
Linked,bes,no_loops,93,1,8,1.012058973312378,killed_mutant,0,1,2a7567a6
Linked,bes,no_loops,96,1,1,1.770780086517334,killed_mutant,0,1,48309723
Linked,bes,no_loops,98,1,1,1.040604829788208,killed_mutant,0,1,48309723
Linked,bes,no_loops,100,1,12,1.2523062229156494,killed_mutant,0,1,48309723
