model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Linked,random,no_loops,5,17,1,1.6029932498931885,killed_mutant,0,1,2aaaee28
Linked,random,no_loops,6,17,1,1.5525949001312256,killed_mutant,0,1,1ee8a96d
Linked,random,no_loops,7,17,1,1.2818448543548584,killed_mutant,0,1,7f259310
Linked,random,no_loops,9,17,3,1.2279059886932373,killed_mutant,0,1,7cb42a5f
Linked,random,no_loops,10,17,5,1.0432229042053223,killed_mutant,0,1,599f0407
Linked,random,no_loops,16,17,1,1.758763074874878,killed_mutant,0,1,5ddb491a
Linked,random,no_loops,18,17,2,1.7780821323394775,killed_mutant,0,1,530e7c92
Linked,random,no_loops,20,17,1,1.1930410861968994,killed_mutant,0,1,461c949
Linked,random,no_loops,21,17,1,1.0450489521026611,killed_mutant,0,1,970f21f
Linked,random,no_loops,23,17,1,1.0284509658813477,killed_mutant,0,1,330c13c1
Linked,random,no_loops,32,17,1,1.708648920059204,killed_mutant,0,1,50bcda39
Linked,random,no_loops,34,17,1,1.5950758457183838,killed_mutant,0,1,6790512c
Linked,random,no_loops,43,17,1,1.302501916885376,killed_mutant,0,1,5ce146be
Linked,random,no_loops,45,17,1,1.300429105758667,killed_mutant,0,1,501a2bb5
Linked,random,no_loops,46,17,1,1.2253460884094238,killed_mutant,0,1,4a33dc89
Linked,random,no_loops,47,17,1,1.425814151763916,killed_mutant,0,1,6ea66f4
Linked,random,no_loops,51,17,1,1.772301197052002,killed_mutant,0,1,60e0d55f
Linked,random,no_loops,52,17,1,1.7369401454925537,killed_mutant,0,1,23bcc56b
Linked,random,no_loops,53,17,1,1.7044920921325684,killed_mutant,0,1,10fcdd53
Linked,random,no_loops,56,17,1,1.2324128150939941,killed_mutant,0,1,12c2e2dd
Linked,random,no_loops,58,17,1,1.3340060710906982,killed_mutant,0,1,63d327f6
Linked,random,no_loops,59,17,1,1.3652827739715576,killed_mutant,0,1,53b7e3e7
Linked,random,no_loops,60,17,2,1.5144789218902588,killed_mutant,0,1,6bd89bbf
Linked,random,no_loops,62,17,3,1.2233331203460693,killed_mutant,0,1,4e625ff9
Linked,random,no_loops,64,17,1,1.472438097000122,killed_mutant,0,1,4d23d76b
Linked,random,no_loops,65,17,1,1.4350731372833252,killed_mutant,0,1,7ea918c4
Linked,random,no_loops,67,17,9,1.6066231727600098,killed_mutant,0,1,72f4364d
Linked,random,no_loops,68,17,1,1.3167250156402588,killed_mutant,0,1,5e7158fe
Linked,random,no_loops,70,17,1,1.1833431720733643,killed_mutant,0,1,3a952637
Linked,random,no_loops,72,17,11,1.686208963394165,killed_mutant,0,1,406caf40
Linked,random,no_loops,73,17,1,1.4274940490722656,killed_mutant,0,1,7d4bf736
Linked,random,no_loops,76,17,1,1.3732991218566895,killed_mutant,0,1,43f6632e
Linked,random,no_loops,77,17,1,1.3055331707000732,killed_mutant,0,1,75bdbc39
Linked,random,no_loops,81,17,12,1.358607292175293,killed_mutant,0,1,3a7556cd
Linked,random,no_loops,82,17,1,1.4471561908721924,killed_mutant,0,1,5e5d1288
Linked,random,no_loops,83,17,1,1.2940387725830078,killed_mutant,0,1,e462972
Linked,random,no_loops,86,17,10,1.761979103088379,killed_mutant,0,1,6a722204
Linked,random,no_loops,87,17,10,1.333355188369751,killed_mutant,0,1,22b14b0a
Linked,random,no_loops,89,17,10,1.6532611846923828,killed_mutant,0,1,1f53bf99
Linked,random,no_loops,90,17,2,1.5493180751800537,killed_mutant,0,1,961417e
Linked,random,no_loops,93,17,2,1.0169200897216797,killed_mutant,0,1,5bd9f1a7
Linked,random,no_loops,96,17,1,1.1529991626739502,killed_mutant,0,1,728f5c0
Linked,random,no_loops,98,17,1,1.4747369289398193,killed_mutant,0,1,558c53e5
Linked,random,no_loops,100,17,1,1.0884580612182617,killed_mutant,0,1,7225dd06
