class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
ElevatorSystem,1,455830,0,0.7395362854003906,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5dced5a8,0,1.2103188037872314,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7db58725,0,1.1768782138824463,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,4113037b,0,1.207801103591919,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,1eb727aa,0,1.4825141429901123,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,3da499b5,0,1.9448628425598145,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,32af150,0,1.4210450649261475,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5b701377,0,1.2932698726654053,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,3dea8550,0,1.318070650100708,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5e71510c,0,2.054774761199951,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,271bf143,0,1.9974169731140137,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,57b55d0c,0,1.3728389739990234,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,11ef18b8,0,1.8470230102539062,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,ec1e381,0,1.4193007946014404,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,2d1d4d4,0,1.5295331478118896,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5cb71d61,0,1.7794387340545654,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,228acc6c,0,1.8357586860656738,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,325afda5,0,1.9355378150939941,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,30858ccb,0,1.718937873840332,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5eff4963,0,1.8286023139953613,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,685e347b,0,1.381720781326294,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,15b4db9,0,1.2380578517913818,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,37af1fde,0,1.4329469203948975,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,547dc9e8,0,1.2857890129089355,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,660c82,0,1.278318166732788,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,20571c9c,0,1.515455961227417,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5ab6ddd0,0,1.7244479656219482,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,11249aad,0,1.6505589485168457,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,73be8c08,0,1.5490729808807373,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,2faa31de,0,1.2654850482940674,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,a6d4a02,0,1.2628138065338135,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,524e971f,0,1.7827870845794678,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,d6a969c,0,1.1793198585510254,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7af605f4,0,1.0110089778900146,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7dbbf799,0,1.144848108291626,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
