class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
JavaNioServerSocket3SUT,1,4acea9b,0,0.8437910079956055,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2c160dd3,0,1.2317421436309814,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,26c3a6de,0,1.4049019813537598,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2bfc5a0a,0,1.360745906829834,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,37d59185,0,1.2458319664001465,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,95626e6,0,1.2860908508300781,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6b2b50dc,0,1.3268380165100098,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,df0fb96,0,1.1576809883117676,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3a44ef6c,0,1.3648531436920166,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,45b28b6e,0,1.3230409622192383,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1c8638f7,0,1.244352102279663,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7bb622f3,0,1.2427232265472412,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,27127b1c,0,1.308670997619629,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,711577a0,0,1.3153679370880127,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,69cdba50,0,1.255141019821167,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3f333fc4,0,1.2649400234222412,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,23f397c7,0,1.3219866752624512,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3439c321,0,1.2147808074951172,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,44394b7a,0,1.3044888973236084,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,38e924fe,0,1.3141100406646729,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7e523b41,0,1.2497138977050781,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
