class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
JavaNioServerSocket3SUT,1,6cd958a,0,1.7209959030151367,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,42219214,0,2.072376012802124,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,44f2c5ff,0,2.2302489280700684,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3dbf6d4b,0,2.253203868865967,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,765c58a1,0,2.2833268642425537,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,5ca08887,0,2.197521209716797,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,485c790a,0,2.2916579246520996,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,72b7d99a,0,2.199939012527466,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,d380322,0,2.2071540355682373,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4eee4ffc,0,2.1615242958068848,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,79f32c32,0,2.142911911010742,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,79820454,0,2.373694896697998,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6868cb7f,0,2.112071990966797,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,d7dffe5,0,2.3124680519104004,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,41c2383e,0,2.039544105529785,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,72a631d8,0,2.3646399974823,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4b07e98,0,2.0305962562561035,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1ce9d6a0,0,2.2663848400115967,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,12477808,0,2.1305859088897705,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,9bde63b,0,2.3359198570251465,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,315c50ae,0,2.2991628646850586,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3b4cf44d,0,2.316767930984497,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,42c39b3e,0,2.205343008041382,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2599d265,0,2.24363112449646,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2c8486b9,0,2.2285091876983643,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,33aa9636,0,2.1712088584899902,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7bead355,0,2.3245959281921387,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4e104cc4,0,2.1694562435150146,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,49b56a22,0,2.219554901123047,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,253c991,0,2.175105094909668,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,a13cc26,0,2.2584481239318848,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,474623c3,0,2.16207218170166,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2bc7cf78,0,2.282993793487549,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,45c7828f,0,2.1856110095977783,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4720d913,0,2.141094207763672,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6b6d28c,0,2.3595449924468994,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6d518392,0,2.1098811626434326,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,344de87a,0,2.2496891021728516,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1ab8f907,0,2.316179037094116,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4b4e3023,0,2.287885904312134,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4cb3a599,0,2.1821351051330566,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,600999bf,0,2.287616014480591,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,211fd992,0,2.388585090637207,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,c00996,0,2.2175841331481934,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2900bdba,0,2.3540711402893066,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,61e4c656,0,2.2711689472198486,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1b1d94e9,0,2.2984838485717773,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7e5aa55a,0,2.2580957412719727,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,f801ab1,0,2.26271390914917,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7037a80e,0,2.1190052032470703,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7097ebe1,0,2.296504020690918,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,778c3d10,0,2.3600010871887207,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6b623beb,0,2.3034098148345947,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,55554317,0,2.2803378105163574,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,eb0c0c8,0,2.2058451175689697,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1d3bf37b,0,2.3648898601531982,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,17846099,0,2.3223609924316406,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,59bb4b34,0,2.461958885192871,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1ce15242,0,2.308337926864624,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,5bd1f659,0,2.4175500869750977,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,2,217781a6,0,2.3529539108276367,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,29e1ef98,0,2.4665143489837646,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,1a6edea0,0,2.5207269191741943,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,313a65b,0,2.4010190963745117,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,54acb2db,0,2.4498207569122314,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,7dcc5e,0,2.3132379055023193,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,71e6d9d,0,2.505612850189209,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,1e0fab79,0,2.1520309448242188,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,25ef7994,0,2.522042989730835,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,1152e59d,0,2.380535125732422,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,1f1be36b,0,2.5118296146392822,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,2fe79e6f,0,2.4853880405426025,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,1a28fadf,0,2.286820650100708,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,4bdb0f99,0,2.466007947921753,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,24f74917,0,2.2257630825042725,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,7c426cb3,0,2.435070037841797,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,7cca1e77,0,2.401278018951416,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,4b6c9c72,0,2.49301815032959,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,5578718a,0,2.2984437942504883,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,25f94c2,0,2.2311959266662598,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,6078a5a1,0,2.2630128860473633,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,13fd42f7,0,2.2922377586364746,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,60265ba4,0,2.223605155944824,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,35b8c728,0,2.243359088897705,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,7ea77f23,0,2.282318115234375,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,696a1378,0,2.2433598041534424,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,72184437,0,2.242929220199585,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,658d00e3,0,2.2889249324798584,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,9173e63,0,2.2860679626464844,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,2,14ed22fe,0,2.316561222076416,ok,4,4,0,4,57,7,5,26,19,4,31.140350877192986,42.01183431952663,40.0,50.0
JavaNioServerSocket3SUT,3,1dbc023c,0,2.4745731353759766,ok,15,15,0,5,71,7,10,52,19,15,67.98245614035088,67.45562130177515,70.0,87.5
JavaNioServerSocket3SUT,3,538ed1e4,0,2.47278094291687,ok,15,15,0,5,71,7,10,52,19,15,67.98245614035088,67.45562130177515,70.0,87.5
JavaNioServerSocket3SUT,3,36a6ceb1,0,2.5393247604370117,ok,15,15,0,5,71,7,10,52,19,15,67.98245614035088,67.45562130177515,70.0,87.5
