class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
SimpleCounterBES,1,455830,0,0.7590851783752441,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5dced5a8,0,1.2188007831573486,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,7db58725,0,1.294053316116333,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,4113037b,0,1.4548108577728271,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,1eb727aa,0,1.4178271293640137,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,3da499b5,0,1.529205083847046,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,32af150,0,1.4323909282684326,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5b701377,0,1.4086151123046875,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,3dea8550,0,1.4273707866668701,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5e71510c,0,1.4724788665771484,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,271bf143,0,1.4378769397735596,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,57b55d0c,0,1.4146759510040283,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,11ef18b8,0,1.466973066329956,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
