class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
ElevatorSystem,1,44a5114a,0,1.3219389915466309,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,6c411ab1,0,1.2685949802398682,ok,1,1,0,6,85,7,6,50,12,60.0,60.0,28.57142857142857,28.57142857142857
ElevatorSystem,1,27b31d86,0,1.2832651138305664,ok,1,1,0,5,71,7,4,33,12,45.21739130434783,45.21739130434783,21.428571428571427,21.428571428571427
ElevatorSystem,1,4a089aa4,0,1.336629867553711,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,51028a2f,0,1.132124900817871,ok,1,1,0,4,57,7,4,33,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,73a79a8f,0,1.2818901538848877,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,4b52f587,0,2.043034076690674,ok,1,1,0,5,71,7,6,50,12,77.39130434782608,77.39130434782608,42.857142857142854,42.857142857142854
ElevatorSystem,1,2603d5f9,0,1.6946587562561035,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,5ac6e38f,0,1.3411610126495361,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,7058d05e,0,1.3563439846038818,ok,1,1,0,5,71,7,7,58,12,74.78260869565217,74.78260869565217,42.857142857142854,42.857142857142854
ElevatorSystem,1,5fa110d2,0,1.1804230213165283,ok,1,1,0,6,85,7,9,75,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,6b8c34af,0,1.4065279960632324,ok,1,1,0,5,71,7,5,41,12,69.56521739130434,69.56521739130434,42.857142857142854,42.857142857142854
ElevatorSystem,1,dd19d8f,0,1.6391088962554932,ok,1,1,0,7,100,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,373fbce5,0,1.24076509475708,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,271b2c74,0,1.1834189891815186,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,5b554046,0,1.2220909595489502,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,2a20f387,0,1.3376820087432861,ok,1,1,0,6,85,7,6,50,12,81.73913043478261,81.73913043478261,50.0,50.0
ElevatorSystem,1,2890c3b9,0,1.6870801448822021,ok,1,1,0,6,85,7,7,58,12,81.73913043478261,81.73913043478261,50.0,50.0
ElevatorSystem,1,3cb3fe9e,0,1.2838351726531982,ok,1,1,0,6,85,7,6,50,12,60.0,60.0,28.57142857142857,28.57142857142857
ElevatorSystem,1,5ba75baf,0,1.477938175201416,ok,1,1,0,5,71,7,4,33,12,45.21739130434783,45.21739130434783,21.428571428571427,21.428571428571427
ElevatorSystem,1,3e8bbb13,0,1.2737300395965576,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,3e2ac246,0,1.3443760871887207,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
