class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
ElevatorSystem,1,cb948e2,0,1.7638123035430908,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,5e7f3600,0,2.020561933517456,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,527fd1ab,0,2.069705009460449,ok,1,1,0,5,71,7,4,33,12,45.21739130434783,45.21739130434783,21.428571428571427,21.428571428571427
ElevatorSystem,1,22849b4a,0,1.8989250659942627,ok,1,1,0,7,100,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,749edb37,0,2.0592329502105713,ok,1,1,0,4,57,7,4,33,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,7de979ff,0,2.1538779735565186,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,a880a70,0,1.9724340438842773,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,500ecc9d,0,1.840867042541504,ok,1,1,0,5,71,7,5,41,12,72.17391304347827,72.17391304347827,42.857142857142854,42.857142857142854
ElevatorSystem,1,7bd5df12,0,1.9836328029632568,ok,1,1,0,7,100,7,11,91,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,4b7ed308,0,1.9152379035949707,ok,1,1,0,5,71,7,6,50,12,72.17391304347827,72.17391304347827,42.857142857142854,42.857142857142854
ElevatorSystem,1,694e6de5,0,1.8520512580871582,ok,1,1,0,7,100,7,10,83,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,1257f099,0,1.9432051181793213,ok,1,1,0,4,57,7,4,33,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,4b8f3102,0,1.9927170276641846,ok,1,1,0,6,85,7,6,50,12,60.0,60.0,28.57142857142857,28.57142857142857
ElevatorSystem,1,2f52270c,0,1.9089009761810303,ok,1,1,0,5,71,7,6,50,12,74.78260869565217,74.78260869565217,42.857142857142854,42.857142857142854
ElevatorSystem,1,4cf398b2,0,2.0229880809783936,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,3eb9798c,0,2.066241979598999,ok,1,1,0,4,57,7,4,33,12,50.43478260869565,50.43478260869565,21.428571428571427,21.428571428571427
ElevatorSystem,1,3ac066c0,0,2.0673110485076904,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,3ab724de,0,1.9302551746368408,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,57f22680,0,1.9996449947357178,ok,1,1,0,5,71,7,6,50,12,74.78260869565217,74.78260869565217,42.857142857142854,42.857142857142854
ElevatorSystem,1,537c6056,0,2.035766124725342,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,4d0af936,0,1.8684170246124268,ok,1,1,0,5,71,7,6,50,12,77.39130434782608,77.39130434782608,42.857142857142854,42.857142857142854
ElevatorSystem,1,1c0c7dba,0,1.8852429389953613,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,690627e7,0,1.9354441165924072,ok,1,1,0,6,85,7,8,66,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,547e3c16,0,1.9404900074005127,ok,1,1,0,4,57,7,4,33,12,50.43478260869565,50.43478260869565,21.428571428571427,21.428571428571427
ElevatorSystem,1,423ad9e8,0,1.9496729373931885,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,2a37d8c5,0,1.8769550323486328,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,21236f78,0,1.9299519062042236,ok,1,1,0,5,71,7,5,41,12,72.17391304347827,72.17391304347827,42.857142857142854,42.857142857142854
