class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
JavaNioServerSocket3SUT,1,5187d3f7,0,1.0450706481933594,ok,1,1,0,5,71,7,9,47,19,63.59649122807017,61.53846153846154,50.0,62.5
JavaNioServerSocket3SUT,1,6213491f,0,1.0305941104888916,ok,1,1,0,4,57,7,6,31,19,35.08771929824561,47.337278106508876,50.0,62.5
JavaNioServerSocket3SUT,1,3f5282b3,0,0.9961318969726562,ok,1,1,0,5,71,7,8,42,19,65.78947368421053,64.49704142011834,40.0,50.0
JavaNioServerSocket3SUT,1,348b6719,0,1.1865119934082031,ok,1,1,0,5,71,7,9,47,19,74.12280701754386,75.7396449704142,40.0,50.0
JavaNioServerSocket3SUT,1,1350c273,0,0.9417920112609863,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,487d9760,0,1.0502729415893555,ok,1,1,0,3,42,7,5,26,19,25.438596491228072,34.319526627218934,40.0,50.0
JavaNioServerSocket3SUT,1,138b6f4d,0,1.0068180561065674,ok,1,1,0,5,71,7,9,47,19,70.6140350877193,71.00591715976331,30.0,37.5
JavaNioServerSocket3SUT,1,1d526be7,0,1.060068130493164,ok,1,1,0,5,71,7,7,36,19,62.71929824561403,60.35502958579882,50.0,62.5
JavaNioServerSocket3SUT,1,6544a38f,0,1.00494384765625,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,53bf898d,0,0.934952974319458,ok,1,1,0,4,57,7,5,26,19,26.75438596491228,36.09467455621302,30.0,37.5
JavaNioServerSocket3SUT,1,1c7f916,0,1.1407818794250488,ok,1,1,0,3,42,7,6,31,19,25.0,33.72781065088758,50.0,62.5
JavaNioServerSocket3SUT,1,6877c121,0,0.9943506717681885,ok,1,1,0,3,42,7,5,26,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,41014b00,0,1.0027329921722412,ok,1,1,0,5,71,7,11,57,19,78.50877192982456,81.65680473372781,50.0,62.5
JavaNioServerSocket3SUT,1,4adf55dd,0,1.0586378574371338,ok,1,1,0,2,28,7,1,5,19,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,36d7dc4d,0,1.0530600547790527,ok,1,1,0,7,100,7,12,63,19,73.68421052631578,75.14792899408283,50.0,62.5
JavaNioServerSocket3SUT,1,67825ab9,0,0.9354779720306396,ok,1,1,0,4,57,7,5,26,19,30.701754385964914,41.42011834319527,40.0,50.0
JavaNioServerSocket3SUT,1,3e4d65ac,0,1.059075117111206,ok,1,1,0,4,57,7,7,36,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,1,33f52486,0,1.0442230701446533,ok,1,1,0,4,57,7,5,26,19,28.947368421052634,39.053254437869825,40.0,50.0
JavaNioServerSocket3SUT,1,74d225ac,0,0.9383389949798584,ok,1,1,0,1,14,7,0,0,19,12.280701754385964,16.56804733727811,30.0,37.5
JavaNioServerSocket3SUT,1,3fd2cbc,0,1.0955569744110107,ok,1,1,0,4,57,7,6,31,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,1,295e7131,0,1.0330157279968262,ok,1,1,0,4,57,7,7,36,19,35.08771929824561,47.337278106508876,50.0,62.5
JavaNioServerSocket3SUT,1,3572af53,0,0.9633259773254395,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,61ee8acc,0,0.9504890441894531,ok,1,1,0,2,28,7,1,5,19,16.666666666666664,22.485207100591715,30.0,37.5
