class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
JavaNioServerSocket3SUT,1,7b580646,0,1.898094892501831,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,119a2a83,0,2.134312152862549,ok,1,1,0,5,71,7,7,36,19,61.8421052631579,59.171597633136095,40.0,50.0
JavaNioServerSocket3SUT,1,63885328,0,2.117187023162842,ok,1,1,0,3,42,7,5,26,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,28eaef08,0,2.169322967529297,ok,1,1,0,3,42,7,5,26,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,1fbd172c,0,2.066540002822876,ok,1,1,0,3,42,7,5,26,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,1d9b84c6,0,2.1808876991271973,ok,1,1,0,3,42,7,5,26,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,695d5b28,0,2.1998989582061768,ok,1,1,0,5,71,7,8,42,19,66.22807017543859,65.08875739644971,50.0,62.5
JavaNioServerSocket3SUT,1,23a95f10,0,2.1815922260284424,ok,1,1,0,3,42,7,6,31,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,6e65162d,0,2.141733169555664,ok,1,1,0,4,57,7,6,31,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,1,23e5366c,0,1.9839859008789062,ok,1,1,0,4,57,7,7,36,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,1,1d8870fe,0,2.163228750228882,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,277973b2,0,2.109076976776123,ok,1,1,0,4,57,7,5,26,19,30.701754385964914,41.42011834319527,40.0,50.0
JavaNioServerSocket3SUT,1,4dab781b,0,1.9944217205047607,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,76e2ba91,0,1.9988839626312256,ok,1,1,0,3,42,7,6,31,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,7d3560c2,0,2.19547700881958,ok,1,1,0,5,71,7,8,42,19,62.71929824561403,60.35502958579882,50.0,62.5
JavaNioServerSocket3SUT,1,2d6fb621,0,2.4188501834869385,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,2a64b819,0,2.2165980339050293,ok,1,1,0,5,71,7,9,47,19,74.12280701754386,75.7396449704142,40.0,50.0
JavaNioServerSocket3SUT,1,3d44b7ed,0,2.0034260749816895,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,74e860ef,0,2.056061029434204,ok,1,1,0,3,42,7,5,26,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,def6839,0,1.902160882949829,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,93ebe4f,0,2.1198301315307617,ok,1,1,0,3,42,7,5,26,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,6f77b9c2,0,2.0101330280303955,ok,1,1,0,4,57,7,7,36,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,1,7fe777f3,0,1.972498893737793,ok,1,1,0,3,42,7,6,31,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,1,23db19f8,0,2.131787061691284,ok,1,1,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,1,3972928f,0,1.8801789283752441,ok,1,1,0,5,71,7,9,47,19,71.9298245614035,72.7810650887574,30.0,37.5
JavaNioServerSocket3SUT,1,33e12606,0,1.9519057273864746,ok,1,1,0,4,57,7,4,21,19,33.771929824561404,45.562130177514796,50.0,62.5
JavaNioServerSocket3SUT,1,2d764744,0,1.9562339782714844,ok,1,1,0,2,28,7,3,15,19,22.36842105263158,30.17751479289941,40.0,50.0
JavaNioServerSocket3SUT,1,63413dc3,0,1.9341440200805664,ok,1,1,0,5,71,7,9,47,19,70.17543859649122,70.41420118343196,50.0,62.5
JavaNioServerSocket3SUT,1,53e913a9,0,1.9924259185791016,ok,1,1,0,5,71,7,8,42,19,66.22807017543859,65.08875739644971,50.0,62.5
JavaNioServerSocket3SUT,1,773793b2,0,1.9623801708221436,ok,1,1,0,3,42,7,5,26,19,21.929824561403507,29.585798816568047,40.0,50.0
JavaNioServerSocket3SUT,4,69418287,0,2.165036201477051,ok,4,4,0,4,57,7,8,42,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,117f6f3f,0,2.108160972595215,ok,4,4,0,4,57,7,8,42,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,1aa76f3d,0,1.9180619716644287,ok,4,4,0,4,57,7,8,42,19,33.33333333333333,44.97041420118343,60.0,75.0
JavaNioServerSocket3SUT,4,31dda47a,0,2.2664361000061035,ok,4,4,0,5,71,7,11,57,19,63.59649122807017,61.53846153846154,50.0,62.5
JavaNioServerSocket3SUT,4,35629b2d,0,2.539731025695801,ok,4,4,0,3,42,7,6,31,19,26.31578947368421,35.50295857988166,50.0,62.5
JavaNioServerSocket3SUT,4,2578adbe,0,2.5268819332122803,ok,4,4,0,4,57,7,8,42,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,76f1d7f7,0,2.470616102218628,ok,4,4,0,3,42,7,4,21,19,21.929824561403507,29.585798816568047,50.0,62.5
JavaNioServerSocket3SUT,4,7ba8ea4c,0,2.3942787647247314,ok,4,4,0,7,100,7,14,73,19,80.26315789473685,84.02366863905326,70.0,87.5
JavaNioServerSocket3SUT,4,57a73bf7,0,2.541511058807373,ok,4,4,0,6,85,7,11,57,19,64.47368421052632,62.721893491124256,60.0,75.0
JavaNioServerSocket3SUT,4,25e7c5d3,0,2.446571111679077,ok,4,4,0,6,85,7,14,73,19,72.80701754385966,73.96449704142012,70.0,87.5
JavaNioServerSocket3SUT,4,39956851,0,2.6804559230804443,ok,4,4,0,4,57,7,7,36,19,28.947368421052634,39.053254437869825,40.0,50.0
JavaNioServerSocket3SUT,4,52760b4a,0,2.4102301597595215,ok,4,4,0,4,57,7,9,47,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,6953720f,0,2.689142942428589,ok,4,4,0,5,71,7,11,57,19,74.12280701754386,75.7396449704142,50.0,62.5
JavaNioServerSocket3SUT,4,7625aa4b,0,2.557436943054199,ok,4,4,0,4,57,7,8,42,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,66372ed,0,2.536198139190674,ok,4,4,0,5,71,7,12,63,19,78.50877192982456,81.65680473372781,60.0,75.0
JavaNioServerSocket3SUT,4,fa80ee7,0,2.535551071166992,ok,4,4,0,4,57,7,8,42,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,12b46eb5,0,2.4280049800872803,ok,4,4,0,5,71,7,8,42,19,67.10526315789474,66.27218934911244,60.0,75.0
JavaNioServerSocket3SUT,4,27bb2c07,0,2.58845591545105,ok,4,4,0,4,57,7,7,36,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,1b5e615e,0,2.437546968460083,ok,4,4,0,4,57,7,7,36,19,33.33333333333333,44.97041420118343,50.0,62.5
JavaNioServerSocket3SUT,4,30e84497,0,2.4876620769500732,ok,4,4,0,6,85,7,15,78,19,82.89473684210526,87.57396449704143,70.0,87.5
JavaNioServerSocket3SUT,4,1d82bf70,0,2.561483144760132,ok,4,4,0,5,71,7,11,57,19,78.50877192982456,81.65680473372781,60.0,75.0
JavaNioServerSocket3SUT,4,45215686,0,2.703134298324585,ok,4,4,0,7,100,7,13,68,19,82.89473684210526,87.57396449704143,70.0,87.5
JavaNioServerSocket3SUT,4,468f1170,0,2.5987818241119385,ok,4,4,0,5,71,7,11,57,19,74.12280701754386,75.7396449704142,50.0,62.5
JavaNioServerSocket3SUT,4,5f1475c2,0,2.4304888248443604,ok,4,4,0,4,57,7,7,36,19,28.947368421052634,39.053254437869825,40.0,50.0
JavaNioServerSocket3SUT,4,3295a9fb,0,2.688473701477051,ok,4,4,0,7,100,7,17,89,19,80.26315789473685,84.02366863905326,60.0,75.0
JavaNioServerSocket3SUT,4,2b441d06,0,2.570338249206543,ok,4,4,0,7,100,7,14,73,19,74.56140350877193,76.33136094674556,70.0,87.5
