class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
SimpleCounterBES,2,1ce79412,0,0.6846961975097656,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,6c18e157,0,1.029310941696167,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,5238b4a1,0,1.1146960258483887,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,8befb54,0,1.173326015472412,ok,2,2,0,5,62,8,6,54,11,91.37931034482759,91.37931034482759,66.66666666666666,66.66666666666666
SimpleCounterBES,2,25b798ed,0,1.0944321155548096,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,6270e093,0,1.0688891410827637,ok,2,2,0,5,62,8,5,45,11,74.13793103448276,74.13793103448276,33.33333333333333,33.33333333333333
SimpleCounterBES,2,5a52d995,0,1.1364521980285645,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,1bf871b3,0,1.1043469905853271,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,4ef66a14,0,1.0742850303649902,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,39b5d85a,0,1.039128065109253,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,46f8faf5,0,1.0531010627746582,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,33.33333333333333,33.33333333333333
SimpleCounterBES,2,5e923794,0,1.0650770664215088,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,172ae999,0,1.1084821224212646,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,6ee6a501,0,1.0660150051116943,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,52dec546,0,1.114009141921997,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,476ee374,0,1.0587189197540283,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,11514986,0,1.0998520851135254,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,46a3fc4c,0,1.0556962490081787,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,51e9b896,0,1.0512700080871582,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,d0b8b48,0,1.089777946472168,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,47c281c3,0,1.0596661567687988,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,6b791db5,0,1.0600221157073975,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,720f3e7b,0,1.16038179397583,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,1e48a36d,0,1.1130151748657227,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,2bd3ef03,0,1.189836025238037,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,56d9ca1,0,1.0802149772644043,ok,2,2,0,6,75,8,6,54,11,84.48275862068965,84.48275862068965,66.66666666666666,66.66666666666666
SimpleCounterBES,2,3ca72176,0,1.0601086616516113,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,77717331,0,1.0420620441436768,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,1ec0a9a0,0,1.097599983215332,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,5c7b8e8,0,1.0666911602020264,ok,2,2,0,5,62,8,6,54,11,91.37931034482759,91.37931034482759,66.66666666666666,66.66666666666666
SimpleCounterBES,101,dd6694,0,1.5225121974945068,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,1e25727f,0,1.4538969993591309,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,6688ddc5,0,1.5619471073150635,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,194ef9f1,0,1.5508239269256592,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,5d763cca,0,1.4808988571166992,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,7a88604d,0,1.5476939678192139,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,47c729af,0,1.5762708187103271,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,67dda170,0,1.6088171005249023,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,5717a711,0,1.5222551822662354,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,14b5c452,0,1.5432519912719727,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,7e378d0e,0,1.521496057510376,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,576d5fb2,0,1.599430799484253,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,86f88a9,0,1.5625886917114258,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,427dfd2f,0,1.5517890453338623,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,210d7306,0,1.3668067455291748,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,7b2ff73a,0,1.469782829284668,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,280424e8,0,1.4892220497131348,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,6ea01a7a,0,1.5451221466064453,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,153b4a96,0,1.5340619087219238,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,5d4e3d48,0,1.4366438388824463,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,fccbfed,0,1.5208358764648438,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,105ae90e,0,1.5175743103027344,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,13b1e8ad,0,1.530653953552246,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,54ec88fc,0,1.4865541458129883,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,1a2ca44d,0,1.5062401294708252,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,5ecc4926,0,1.4724431037902832,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,44d52b67,0,1.487354040145874,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,5b758642,0,1.5143108367919922,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,270b3607,0,1.4988110065460205,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,101,3146a343,0,1.524482011795044,ok,101,101,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,5914e557,0,1.6685740947723389,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,65292b93,0,1.624356985092163,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,47b6ce1c,0,1.594545841217041,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,543a1346,0,1.640260934829712,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,62ff46ba,0,1.6817009449005127,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,52de608,0,1.6513972282409668,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,309dd98d,0,1.6823508739471436,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,3834cf24,0,1.5846199989318848,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,7b3aa965,0,1.6398100852966309,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,201,28b91358,0,1.6776061058044434,ok,201,201,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
