class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
SimpleCounterBES,2,2f67a72c,0,1.8863391876220703,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,5b77946c,0,2.367090940475464,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,85afa5f,0,2.4558918476104736,ok,2,2,0,6,75,8,6,54,11,84.48275862068965,84.48275862068965,66.66666666666666,66.66666666666666
SimpleCounterBES,2,25e0f79,0,2.4763481616973877,ok,2,2,0,5,62,8,5,45,11,74.13793103448276,74.13793103448276,33.33333333333333,33.33333333333333
SimpleCounterBES,2,22d70b2a,0,2.522733211517334,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,756cde16,0,2.366824150085449,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,602ef2c5,0,2.4561522006988525,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,7e4d05c1,0,2.661224126815796,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,4ad6e79f,0,2.4264588356018066,ok,2,2,0,3,37,8,3,27,11,55.172413793103445,55.172413793103445,50.0,50.0
SimpleCounterBES,2,6c403bd8,0,2.56817889213562,ok,2,2,0,4,50,8,3,27,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,4af66b36,0,2.4623358249664307,ok,2,2,0,4,50,8,3,27,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,67bd70dd,0,2.582646131515503,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,23279ce9,0,2.4447460174560547,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,45a53664,0,2.4414680004119873,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,7077020f,0,2.439697265625,ok,2,2,0,4,50,8,4,36,11,67.24137931034483,67.24137931034483,33.33333333333333,33.33333333333333
SimpleCounterBES,2,4f439336,0,2.4258952140808105,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,27cd43,0,2.437026023864746,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,5ec8ed68,0,2.511522054672241,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,16.666666666666664,16.666666666666664
SimpleCounterBES,2,2666b73,0,2.5130209922790527,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,163b2959,0,2.4100141525268555,ok,2,2,0,4,50,8,3,27,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,42a8e487,0,2.444990873336792,ok,2,2,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,2,79604c79,0,2.5781409740448,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,24b49c47,0,2.506030797958374,ok,2,2,0,4,50,8,4,36,11,67.24137931034483,67.24137931034483,33.33333333333333,33.33333333333333
SimpleCounterBES,2,1c7c327c,0,2.6404919624328613,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,383119b0,0,2.384122848510742,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,5b49fdcb,0,2.5835089683532715,ok,2,2,0,4,50,8,4,36,11,63.793103448275865,63.793103448275865,33.33333333333333,33.33333333333333
SimpleCounterBES,2,10225088,0,2.3817336559295654,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,2,4cb1418f,0,2.4449610710144043,ok,2,2,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,2,34741224,0,2.5531609058380127,ok,2,2,0,3,37,8,3,27,11,55.172413793103445,55.172413793103445,50.0,50.0
SimpleCounterBES,2,62043a11,0,2.575145959854126,ok,2,2,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,8,3521b34d,0,2.4975826740264893,ok,8,8,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,8,7615b961,0,2.5582621097564697,ok,8,8,0,5,62,8,5,45,11,74.13793103448276,74.13793103448276,50.0,50.0
SimpleCounterBES,8,3a8d246f,0,2.5265557765960693,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,8,3948251c,0,2.628973960876465,ok,8,8,0,6,75,8,6,54,11,81.03448275862068,81.03448275862068,50.0,50.0
SimpleCounterBES,8,6b17b57e,0,2.7131261825561523,ok,8,8,0,6,75,8,6,54,11,81.03448275862068,81.03448275862068,50.0,50.0
SimpleCounterBES,8,45a41e0f,0,2.6072471141815186,ok,8,8,0,6,75,8,6,54,11,81.03448275862068,81.03448275862068,50.0,50.0
SimpleCounterBES,8,4df0fd28,0,2.546734094619751,ok,8,8,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,8,761dd082,0,2.5300958156585693,ok,8,8,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,8,7c32e799,0,2.6949501037597656,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,8,59f49d0d,0,2.535741090774536,ok,8,8,0,6,75,8,6,54,11,81.03448275862068,81.03448275862068,50.0,50.0
SimpleCounterBES,8,76c8a88d,0,2.6242098808288574,ok,8,8,0,5,62,8,4,36,11,58.620689655172406,58.620689655172406,0.0,0.0
SimpleCounterBES,8,610dc316,0,2.628473997116089,ok,8,8,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,8,98e5945,0,2.660446882247925,ok,8,8,0,6,75,8,6,54,11,77.58620689655173,77.58620689655173,33.33333333333333,33.33333333333333
SimpleCounterBES,8,5f073252,0,2.943272113800049,ok,8,8,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,8,4bdaf6ea,0,2.9490301609039307,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,8,2e66b4d6,0,2.7372570037841797,ok,8,8,0,6,75,8,6,54,11,77.58620689655173,77.58620689655173,33.33333333333333,33.33333333333333
SimpleCounterBES,8,62e10d0d,0,2.7972190380096436,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,8,5f889923,0,2.7358038425445557,ok,8,8,0,6,75,8,6,54,11,77.58620689655173,77.58620689655173,33.33333333333333,33.33333333333333
SimpleCounterBES,8,7e5d19ad,0,2.6750924587249756,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,66.66666666666666,66.66666666666666
SimpleCounterBES,8,68043805,0,2.7398037910461426,ok,8,8,0,5,62,8,5,45,11,74.13793103448276,74.13793103448276,33.33333333333333,33.33333333333333
SimpleCounterBES,8,76e136c0,0,2.6540448665618896,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,8,33588fd7,0,2.6670398712158203,ok,8,8,0,2,25,8,1,9,11,44.827586206896555,44.827586206896555,0.0,0.0
SimpleCounterBES,8,a7b6b7e,0,2.6060290336608887,ok,8,8,0,6,75,8,7,63,11,98.27586206896551,98.27586206896551,83.33333333333334,83.33333333333334
SimpleCounterBES,8,64ae0407,0,2.6133317947387695,ok,8,8,0,5,62,8,5,45,11,70.6896551724138,70.6896551724138,16.666666666666664,16.666666666666664
SimpleCounterBES,8,a0af0e2,0,2.645987033843994,ok,8,8,0,6,75,8,6,54,11,81.03448275862068,81.03448275862068,50.0,50.0
