class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
ElevatorSystem,1,4a060090,0,1.114975929260254,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,49b5a397,0,0.9368181228637695,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,8458070,0,1.060408115386963,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,6873e806,0,1.1130530834197998,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7ede0404,0,1.1082210540771484,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,15dc2139,0,0.9484260082244873,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,39779bb,0,1.0572309494018555,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,22006d86,0,1.0066351890563965,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,228e8ef3,0,1.04899001121521,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,dab7756,0,1.0696911811828613,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,1a326c8c,0,1.0547471046447754,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,19b28c72,0,1.148054838180542,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,30d89dcf,0,1.2154123783111572,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,54b8cb45,0,1.0967662334442139,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7ddc6bd2,0,1.1144943237304688,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,74cff612,0,0.9972889423370361,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,75b6a772,0,1.171294927597046,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,1b60a988,0,0.9537827968597412,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,484f90df,0,1.0573937892913818,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,35553006,0,1.1960036754608154,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,35af2365,0,0.9027571678161621,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,6de40bac,0,1.0036728382110596,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,4d6a9380,0,0.9494199752807617,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5a537229,0,1.0165622234344482,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,74ab2a29,0,0.9577298164367676,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,273b71fa,0,1.0158510208129883,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,2c630fda,0,0.9663162231445312,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,133063f5,0,1.1658480167388916,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,61a0dfe,0,1.0000808238983154,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,48018bd1,0,1.0066370964050293,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,c4f7abf,0,0.9431760311126709,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,2231956d,0,1.0025620460510254,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7dcca468,0,1.0610198974609375,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5f4fe5c,0,0.964601993560791,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5835d50a,0,1.0107252597808838,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,4f845463,0,0.9548430442810059,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,58e37fb,0,0.9709570407867432,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,705891bb,0,1.0221850872039795,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7d193b3a,0,1.0105202198028564,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,357a2061,0,0.9472148418426514,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,50af8ecf,0,1.0544559955596924,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,4d360059,0,2.3342971801757812,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,7b71cabe,0,1.0677070617675781,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
ElevatorSystem,1,5f13f4c0,0,1.127357006072998,ok,1,1,0,2,28,7,1,8,12,1,15.65217391304348,15.65217391304348,0.0,0.0
