class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
SimpleCounterBES,1,455830,0,1.2446980476379395,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5dced5a8,0,1.5159180164337158,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,7db58725,0,1.7138607501983643,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,4113037b,0,1.8288109302520752,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,1eb727aa,0,1.7963709831237793,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,3da499b5,0,1.9749817848205566,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,32af150,0,1.76491117477417,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5b701377,0,1.9753530025482178,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,3dea8550,0,1.7776458263397217,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5e71510c,0,1.6251308917999268,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,271bf143,0,1.8452579975128174,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,57b55d0c,0,1.7888777256011963,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,11ef18b8,0,1.9771239757537842,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,ec1e381,0,1.8191449642181396,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,2d1d4d4,0,1.793165922164917,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,5cb71d61,0,1.7198472023010254,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,228acc6c,0,1.703190803527832,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
SimpleCounterBES,1,325afda5,0,1.719261884689331,ok,2,2,0,3,37,8,2,18,11,2,34.48275862068966,34.48275862068966,0.0,0.0
