class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
ElevatorSystem,1,44a5114a,0,2.264677047729492,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,6c411ab1,0,2.4093000888824463,ok,1,1,0,6,85,7,6,50,12,60.0,60.0,28.57142857142857,28.57142857142857
ElevatorSystem,1,27b31d86,0,2.417508840560913,ok,1,1,0,5,71,7,4,33,12,45.21739130434783,45.21739130434783,21.428571428571427,21.428571428571427
ElevatorSystem,1,4a089aa4,0,2.3809359073638916,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,51028a2f,0,2.5301120281219482,ok,1,1,0,4,57,7,4,33,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,73a79a8f,0,2.461606979370117,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,4b52f587,0,2.324227809906006,ok,1,1,0,5,71,7,6,50,12,77.39130434782608,77.39130434782608,42.857142857142854,42.857142857142854
ElevatorSystem,1,2603d5f9,0,2.6278679370880127,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,5ac6e38f,0,2.3987350463867188,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,7058d05e,0,2.15863299369812,ok,1,1,0,5,71,7,7,58,12,74.78260869565217,74.78260869565217,42.857142857142854,42.857142857142854
ElevatorSystem,1,5fa110d2,0,2.6243841648101807,ok,1,1,0,6,85,7,9,75,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,6b8c34af,0,2.4865810871124268,ok,1,1,0,5,71,7,5,41,12,69.56521739130434,69.56521739130434,42.857142857142854,42.857142857142854
ElevatorSystem,1,dd19d8f,0,2.3225629329681396,ok,1,1,0,7,100,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,373fbce5,0,2.3640377521514893,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,271b2c74,0,2.201117992401123,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,5b554046,0,2.456166982650757,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,2a20f387,0,2.422218084335327,ok,1,1,0,6,85,7,6,50,12,81.73913043478261,81.73913043478261,50.0,50.0
ElevatorSystem,1,2890c3b9,0,2.493138074874878,ok,1,1,0,6,85,7,7,58,12,81.73913043478261,81.73913043478261,50.0,50.0
ElevatorSystem,1,3cb3fe9e,0,2.6226918697357178,ok,1,1,0,6,85,7,6,50,12,60.0,60.0,28.57142857142857,28.57142857142857
ElevatorSystem,1,5ba75baf,0,2.292571783065796,ok,1,1,0,5,71,7,4,33,12,45.21739130434783,45.21739130434783,21.428571428571427,21.428571428571427
ElevatorSystem,1,3e8bbb13,0,2.3622469902038574,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,3e2ac246,0,2.466296911239624,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,3b54a13a,0,2.4488799571990967,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
