class,requested_size,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,total_ic,ic,total_bc,bc
ElevatorSystem,1,cb948e2,0,0.7983880043029785,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,5e7f3600,0,1.2608330249786377,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,527fd1ab,0,1.373671293258667,ok,1,1,0,5,71,7,4,33,12,45.21739130434783,45.21739130434783,21.428571428571427,21.428571428571427
ElevatorSystem,1,22849b4a,0,1.4279839992523193,ok,1,1,0,7,100,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,749edb37,0,1.3779571056365967,ok,1,1,0,4,57,7,4,33,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,7de979ff,0,1.2813849449157715,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,a880a70,0,1.3764488697052002,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,500ecc9d,0,1.2826240062713623,ok,1,1,0,5,71,7,5,41,12,72.17391304347827,72.17391304347827,42.857142857142854,42.857142857142854
ElevatorSystem,1,7bd5df12,0,1.413835048675537,ok,1,1,0,7,100,7,11,91,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,4b7ed308,0,1.3256449699401855,ok,1,1,0,5,71,7,6,50,12,72.17391304347827,72.17391304347827,42.857142857142854,42.857142857142854
ElevatorSystem,1,694e6de5,0,1.3867700099945068,ok,1,1,0,7,100,7,10,83,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,1257f099,0,1.3352761268615723,ok,1,1,0,4,57,7,4,33,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,4b8f3102,0,1.3268301486968994,ok,1,1,0,6,85,7,6,50,12,60.0,60.0,28.57142857142857,28.57142857142857
ElevatorSystem,1,2f52270c,0,1.3741998672485352,ok,1,1,0,5,71,7,6,50,12,74.78260869565217,74.78260869565217,42.857142857142854,42.857142857142854
ElevatorSystem,1,4cf398b2,0,1.2298972606658936,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,3eb9798c,0,1.3768439292907715,ok,1,1,0,4,57,7,4,33,12,50.43478260869565,50.43478260869565,21.428571428571427,21.428571428571427
ElevatorSystem,1,3ac066c0,0,1.4871349334716797,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,3ab724de,0,1.3141469955444336,ok,1,1,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,57f22680,0,1.376326084136963,ok,1,1,0,5,71,7,6,50,12,74.78260869565217,74.78260869565217,42.857142857142854,42.857142857142854
ElevatorSystem,1,537c6056,0,1.3773219585418701,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,4d0af936,0,1.3838410377502441,ok,1,1,0,5,71,7,6,50,12,77.39130434782608,77.39130434782608,42.857142857142854,42.857142857142854
ElevatorSystem,1,1c0c7dba,0,1.2778689861297607,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,690627e7,0,1.3740670680999756,ok,1,1,0,6,85,7,8,66,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,1,547e3c16,0,1.2807607650756836,ok,1,1,0,4,57,7,4,33,12,50.43478260869565,50.43478260869565,21.428571428571427,21.428571428571427
ElevatorSystem,1,423ad9e8,0,1.3914709091186523,ok,1,1,0,6,85,7,5,41,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,1,2a37d8c5,0,1.3757741451263428,ok,1,1,0,4,57,7,3,25,12,18.26086956521739,18.26086956521739,0.0,0.0
ElevatorSystem,1,21236f78,0,1.338075876235962,ok,1,1,0,5,71,7,5,41,12,72.17391304347827,72.17391304347827,42.857142857142854,42.857142857142854
ElevatorSystem,1,1119c4e9,0,1.3833918571472168,ok,1,1,0,6,85,7,6,50,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,1,39833258,0,1.4678959846496582,ok,1,1,0,5,71,7,5,41,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,1,60acb749,0,1.5215930938720703,ok,1,1,0,5,71,7,5,41,12,47.82608695652174,47.82608695652174,21.428571428571427,21.428571428571427
ElevatorSystem,5,2be232e7,0,1.6169960498809814,ok,5,5,0,6,85,7,8,66,12,81.73913043478261,81.73913043478261,50.0,50.0
ElevatorSystem,5,45e08451,0,1.6888458728790283,ok,5,5,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,7c9bc582,0,1.671598196029663,ok,5,5,0,6,85,7,7,58,12,57.391304347826086,57.391304347826086,28.57142857142857,28.57142857142857
ElevatorSystem,5,2c92e895,0,1.83868408203125,ok,5,5,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,17fa63a5,0,1.8868870735168457,ok,5,5,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,79486fbf,0,2.0342330932617188,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,29f242ea,0,1.9809768199920654,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,2ffe87c1,0,1.6882429122924805,ok,5,5,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,9358bc6,0,1.5400018692016602,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,5a3ffff3,0,1.5928659439086914,ok,5,5,0,5,71,7,8,66,12,77.39130434782608,77.39130434782608,42.857142857142854,42.857142857142854
ElevatorSystem,5,75941623,0,1.6679508686065674,ok,5,5,0,6,85,7,7,58,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,7bc965bf,0,1.7761971950531006,ok,5,5,0,7,100,7,11,91,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,419f9075,0,1.8758478164672852,ok,5,5,0,7,100,7,10,83,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,22f1dcce,0,1.5717129707336426,ok,5,5,0,6,85,7,7,58,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,5b259d02,0,1.6324489116668701,ok,5,5,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,577583e8,0,1.6737370491027832,ok,5,5,0,6,85,7,8,66,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,1fa692d7,0,1.887044906616211,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,102a91a3,0,2.296408176422119,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,4a372c42,0,1.5207469463348389,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,665d6287,0,1.7370779514312744,ok,5,5,0,6,85,7,9,75,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,1fe34443,0,1.8770041465759277,ok,5,5,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,6179fa41,0,1.6817152500152588,ok,5,5,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,1e4ab433,0,1.9313700199127197,ok,5,5,0,7,100,7,11,91,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,12f35260,0,2.314136028289795,ok,5,5,0,6,85,7,9,75,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,75066c8e,0,2.012582302093506,ok,5,5,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,6929130,0,1.9478809833526611,ok,5,5,0,6,85,7,9,75,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,6c6cc90b,0,1.8658981323242188,ok,5,5,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,c4508e2,0,2.210016965866089,ok,5,5,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,5,7c870022,0,2.618687152862549,ok,5,5,0,6,85,7,8,66,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,5,6bbca711,0,1.989804983139038,ok,5,5,0,6,85,7,8,66,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,16586cc8,0,1.7912099361419678,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,76081442,0,1.659229040145874,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,40a2014,0,1.5844979286193848,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,265b11bb,0,1.7515158653259277,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,9dda4e2,0,1.6895790100097656,ok,10,10,0,7,100,7,11,91,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,10,51737a99,0,1.548832893371582,ok,10,10,0,6,85,7,9,75,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,10,2e76cded,0,1.5244247913360596,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,601dfe7e,0,1.4739971160888672,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,49711a0d,0,1.4333410263061523,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,4d76d0bc,0,1.7270777225494385,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,6ee7be45,0,1.6949758529663086,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,328ed3b3,0,1.5779919624328613,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,1983bd1a,0,1.6403746604919434,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,311c8af6,0,1.7396090030670166,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,bbfb378,0,1.781062126159668,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,11957126,0,1.6281721591949463,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,7db283e6,0,1.431426763534546,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,5587c8cb,0,1.4311423301696777,ok,10,10,0,6,85,7,10,83,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,622bea9b,0,1.5204570293426514,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,1875fcda,0,1.6302461624145508,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,7c81471a,0,1.580690860748291,ok,10,10,0,6,85,7,9,75,12,84.34782608695653,84.34782608695653,50.0,50.0
ElevatorSystem,10,299c0c9a,0,1.459388256072998,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,b547182,0,1.3739228248596191,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
ElevatorSystem,10,1da1337a,0,1.7408761978149414,ok,10,10,0,7,100,7,12,100,12,86.95652173913044,86.95652173913044,50.0,50.0
