class,depth,seed,return_code,time_taken,status,total_tests,ok_tests,failed_tests,node_covered,nc,total_nodes,edge_covered,ec,total_edges,trie_total_path,total_ic,ic,total_bc,bc
JavaNioServerSocket3SUT,1,4acea9b,0,1.4290332794189453,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2c160dd3,0,1.9424071311950684,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,26c3a6de,0,1.888033151626587,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2bfc5a0a,0,2.010962963104248,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,37d59185,0,1.8678760528564453,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,95626e6,0,2.141307830810547,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6b2b50dc,0,1.8872201442718506,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,df0fb96,0,2.1135029792785645,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3a44ef6c,0,2.0248608589172363,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,45b28b6e,0,1.9926748275756836,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1c8638f7,0,2.0414929389953613,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7bb622f3,0,2.014503002166748,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,27127b1c,0,2.006291389465332,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,711577a0,0,1.9639999866485596,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,69cdba50,0,1.9745070934295654,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3f333fc4,0,2.037163019180298,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,23f397c7,0,1.9957079887390137,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3439c321,0,2.125317096710205,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,44394b7a,0,2.095149040222168,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,38e924fe,0,1.8371851444244385,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7e523b41,0,2.1022887229919434,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1bc2337b,0,1.8933000564575195,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3ff06fc7,0,2.1039681434631348,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6220423e,0,1.9348642826080322,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,51a3d720,0,2.0612196922302246,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6ea2185b,0,2.0433709621429443,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4275ca1f,0,2.0403871536254883,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,47a93d2b,0,2.0019619464874268,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,60b0ee3e,0,2.007200002670288,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,3852d7c4,0,2.011500835418701,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,5534cbf3,0,1.9881141185760498,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,7070e035,0,2.0692028999328613,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,5223f92a,0,1.9139182567596436,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,420bf4a9,0,2.039923906326294,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4aca2e80,0,1.8484361171722412,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,53c2b8fd,0,2.136507987976074,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,1cdeb979,0,1.8917131423950195,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,77b0246a,0,2.088324785232544,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,479064a,0,1.94498872756958,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,2175d530,0,1.984544038772583,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,175deea,0,1.9970850944519043,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4d73b7cb,0,1.9289441108703613,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,444b11fb,0,2.017254114151001,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,24453e6,0,1.9502201080322266,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,218e7d67,0,2.117419958114624,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,4921d656,0,1.9200258255004883,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
JavaNioServerSocket3SUT,1,6fa4cdc7,0,2.142651081085205,ok,1,1,0,2,28,7,1,5,19,1,16.666666666666664,22.485207100591715,30.0,37.5
