model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
JavaNioServerSocket3,bes,loops,0,3,15,0.8005120754241943,killed_mutant,0,1,7d7eeb2d
JavaNioServerSocket3,bes,loops,2,6,188,1.4977729320526123,killed_mutant,0,1,5bf8f996
JavaNioServerSocket3,bes,loops,4,3,15,1.0507712364196777,killed_mutant,0,1,471d2c81
JavaNioServerSocket3,bes,loops,7,3,15,1.0791161060333252,killed_mutant,0,1,7d7eeb2d
JavaNioServerSocket3,bes,loops,9,10,7365,15.532056093215942,killed_mutant,0,1,3b9a0714
JavaNioServerSocket3,bes,loops,11,1,1,1.133347988128662,invoke_error,1,0,43c76aa0
JavaNioServerSocket3,bes,loops,12,6,204,1.4482200145721436,killed_mutant,0,1,5bf8f996
JavaNioServerSocket3,bes,loops,15,7,640,3.9131228923797607,killed_mutant,0,1,3183a309
JavaNioServerSocket3,bes,loops,18,1,1,1.8979918956756592,invoke_error,1,0,43c76aa0
JavaNioServerSocket3,bes,loops,19,3,6,1.5761969089508057,killed_mutant,0,1,7d7eeb2d
JavaNioServerSocket3,bes,loops,21,4,20,1.9288690090179443,killed_mutant,0,1,24505cb5
JavaNioServerSocket3,bes,loops,23,4,20,1.8422341346740723,killed_mutant,0,1,24505cb5
JavaNioServerSocket3,bes,loops,26,6,188,3.2855029106140137,killed_mutant,0,1,5bf8f996
JavaNioServerSocket3,bes,loops,27,5,22,2.096780776977539,killed_mutant,0,1,258d49ec
