model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
JavaNioServerSocket3,bes,no_loops,0,3,15,0.5667128562927246,killed_mutant,0,1,4b0aeace
JavaNioServerSocket3,bes,no_loops,4,3,15,0.6668803691864014,killed_mutant,0,1,2c1190a6
JavaNioServerSocket3,bes,no_loops,7,3,15,0.617150068283081,killed_mutant,0,1,255af39c
JavaNioServerSocket3,bes,no_loops,11,1,?,0.5665977001190186,invoke_error,1,?,4acea9b
JavaNioServerSocket3,bes,no_loops,12,6,175,1.0177090167999268,killed_mutant,0,1,4c51b393
JavaNioServerSocket3,bes,no_loops,18,1,?,0.5666711330413818,invoke_error,1,?,4acea9b
JavaNioServerSocket3,bes,no_loops,19,3,6,0.5666811466217041,killed_mutant,0,1,4b0aeace
JavaNioServerSocket3,bes,no_loops,21,4,19,0.6167984008789062,killed_mutant,0,1,61ef7bdd
JavaNioServerSocket3,bes,no_loops,23,4,19,0.6669135093688965,killed_mutant,0,1,61ef7bdd
JavaNioServerSocket3,bes,no_loops,27,5,18,0.6670122146606445,killed_mutant,0,1,61ee89b1
