model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
JavaNioServerSocket3,random,loops,0,1,1,1.6618549823760986,killed_mutant,0,1,e8af8d2
JavaNioServerSocket3,random,loops,2,1,1,2.4599339962005615,killed_mutant,0,1,839c11e
JavaNioServerSocket3,random,loops,4,1,1,2.125711679458618,killed_mutant,0,1,7d4464c8
JavaNioServerSocket3,random,loops,6,4,1,1.8361856937408447,invoke_error,1,0,2e058c2
JavaNioServerSocket3,random,loops,7,1,1,1.9082458019256592,killed_mutant,0,1,30835dc9
JavaNioServerSocket3,random,loops,11,1,1,2.209495782852173,invoke_error,1,0,1f5b5da1
JavaNioServerSocket3,random,loops,12,1,1,2.1492180824279785,killed_mutant,0,1,3047274b
JavaNioServerSocket3,random,loops,18,1,1,1.0240411758422852,invoke_error,1,0,3a8a6d2e
JavaNioServerSocket3,random,loops,19,1,1,0.810966968536377,killed_mutant,0,1,2bea901a
JavaNioServerSocket3,random,loops,21,4,1,0.8690989017486572,killed_mutant,0,1,7f43d80b
JavaNioServerSocket3,random,loops,23,1,1,1.536742925643921,killed_mutant,0,1,2ede560e
JavaNioServerSocket3,random,loops,26,4,1,0.8674240112304688,killed_mutant,0,1,5810b42
JavaNioServerSocket3,random,loops,27,4,2,1.0656099319458008,killed_mutant,0,1,69c680c6
